key,original,translation
# 自己说话,,
Murmum_10000_1,<MsgSectStyle>「我已经会了，不用再看了……」</>,
Murmum_10000_2,<MsgSectStyle>「已烂熟于心，不用再看了……」</>,
Murmum_10000_3,<MsgSectStyle>「都跟你说了，不用再看了，你还点？!」</>,
Murmum_10000_4,<MsgSectStyle>「已经学会了啦，不用看了……」</>,
Murmum_10000_5,<MsgSectStyle>「我已会使这门绝学了！」</>,
Murmum_10007_1,「没挖到什么东西……」,
Murmum_10008_1,这是哪里！有人吗？喂~喂~~喂~~~,
Murmum_10009_1,我们把气血回满再来切磋。,
Murmum_10010_1,对方正在考虑如何处置你...考虑与你的关系和态度...正在考虑风险...。,
# 门派成员看到外来人的反馈对话,,
Murmum_40000_1,门派禁地，生人不得擅闯！,
# 各种行为反馈说话,,
Murmum_50000_1,看什么看？滚！,
Murmum_50001_1,就你这厮也想入我门，痴心妄想！,
Murmum_50002_1,想要入得鄙门，只需达成入门条件便可！,
Murmum_50003_1,在下已禀报掌门，阁下稍事片刻可收到掌门回信,
Murmum_50004_1,嗯？！给我起来！,
Murmum_50005_1,躲躲藏藏，鬼鬼祟祟，给我出来！,
Murmum_50006_1,嗯？！谁在那？！,
Murmum_50007_1,这装备真不错！,
Murmum_50008_1,这门绝学似乎很适合我！,
Murmum_50009_1,多谢大侠救命之恩！,
Murmum_50013_1,马喜欢吃草，猴子喜欢吃松果或梅子，貂和蛇喜欢吃肉和蛋，鹰喜欢吃肉。,
Murmum_50014_1,只要有武林大会的区域过段时间就会召开了，好期待~~如果能当上武林盟主，那真的是可以为所欲为了，哈哈哈哈。,
Murmum_50015_1,各个门派的山门都有公告板，你可以去看看符不符合入门条件。不过人家不一定看得上你~~,
Murmum_50016_1,小伤的话自己真气贯通就可以治疗了，如果伤势过于严重只能去医馆治疗了，不过他们收费都挺贵的。。。,
Murmum_50017_1,交易，帮人完成委托任务，或者去各大店铺打杂。不过怎么都没有干出格的事情来的快哈哈，马无夜草不肥嘛~~~,
Murmum_50018_1,呵呵呵~这个世界没有真正的无敌~你可以通过收集绝学、内功、能力、装备来提升实力，不过只有将它们组合搭配好，才能真正强大。,
Murmum_50019_1,我听说在逐鹰台和镜湖石林可以领悟高级轻功。,
Murmum_50020_1,把欠我的都交出来！,
Murmum_50021_1,算你识相，滚吧！以后小心点，别惹我！！,
Murmum_50022_1,今天先给你个教训！,
Murmum_50023_1,我惹不起你！这件事就算了吧！,
Murmum_50024_1,我今天已经很疲惫了，明天再来请教吧,
Murmum_50025_1,我今天累了，先把刚学会的融会贯通，明天再传授我吧,
Murmum_50026_1,(……不要乱动……再坚持一会儿，天门就要开了！！！),
# 奇遇说话,,
Murmum_60000_1,不错不错，一统江湖就靠你了。,
Murmum_60001_1,哈哈，我也是刚研究出来的，没想到有点副作用，等我改良了再找你哈~~,
Murmum_60002_1,……,
Murmum_60003_1,哼~不识好歹。,
Murmum_60004_1,大官人~万寿无疆~~,
Murmum_60005_1,我真是太善良了~~看不得比我可怜的孩子~~,
Murmum_60006_1,你真的~~我哭了~~山高水长，江湖再见~~,
Murmum_60007_1,菩萨显灵了！！！,
Murmum_60008_1,寒风萧萧~~飞雪飘扬~~,
Murmum_60009_1,遇到了瞎子...可惜了~~,
Murmum_60010_1,当然是要有双好腿啊！！我的睿智真是让你望尘莫及，哈哈哈哈哈,
Murmum_60011_1,武功再高也怕菜刀，你躲得过流言蜚语、暗箭伤人吗？？,
Murmum_60012_1,君子喻于义，小人喻于利。你用财帛驱使的人，最终难免反噬。,
Murmum_60013_1,果然是我辈中人！！,
Murmum_60014_1,这才叫相濡以沫~哈哈哈,
Murmum_60015_1,不错不错，今年撮合了 38 对姻缘。,
Murmum_60016_1,……,
Murmum_60017_1,救命之恩，涌泉相报！这是我祖传丹药，请大侠务必收下。,
Murmum_60018_1,我的腿断了！！给我 1000 钱！！否则到宗门告你恃强凌弱！！！,
Murmum_60019_1,……,
Murmum_60020_1,哎~~买卖越来越不好干了~~,
Murmum_60021_1,阁下身患重疾，最好找「百花谷」的医馆治疗一番，我这有一颗「洗髓丹」给你，姑且可以帮你先治疗一些隐疾！,
Murmum_60022_1,哦，我还以为你是新来的。,
Murmum_60023_1,哈哈，算你识相~~后会有期。,
Murmum_60024_1,看来得给你小子一点教训！！,
Murmum_60025_1,好！今后你我有福同享，有难同当！,
Murmum_60026_1,哼！不识抬举。,
Murmum_60027_1,真好~,
Murmum_60028_1,哼！,
Murmum_60029_1,行了，快穿上吧，别落下隐疾了。,
Murmum_60030_1,真是死要面子活受罪，再见吧。,
Murmum_60031_1,建好民居，你就有了一处容身之所了，可以抵御寒冷和恢复气血！,
Murmum_60032_1,温泉泡个澡、茶馆喝口茶、乐楼听个小曲，都可以让你心情好起来！,
Murmum_60033_1,真的？！那在下先谢过了，哈哈哈，待我练成以后，必定与你分享！！！,
Murmum_60034_1,这本秘籍传闻天下无敌，你真的不想一探究竟么？！,
Murmum_60035_1,该奇石位于龙亭龙头之上，至于怎么过去，你自己想办法吧！,
Murmum_60036_1,不信拉倒！,
Murmum_60037_1,来来来，我给你标记个位置，你过去找找。,
Murmum_60038_1,居然有人对宝箱不感兴趣？！,
Murmum_60039_1,与他人交互，点击「学艺」即可查看。,
Murmum_60040_1,告辞！,
Murmum_60041_1,给你标记了个地点，你过去看看吧。,
Murmum_60042_1,我这是碰到个变态？,
# 常规说话文本,,
Murmum_61000_1,阁下传授这{0}真了不得，在下受益匪浅，感激不尽! ,
Murmum_61000_2,竟传我{0}，日后我必报答阁下恩德! ,
Murmum_61000_3,全仗阁下指点{0}，若不是阁下，我还在那里胡涂呢。,
Murmum_61000_4,居然是{0}！在下定好生练习这门武艺，感激不尽！！！,
Murmum_61000_5,竟然是{0}！让在下大开眼界，真不知如何表达谢意才好! ,
Murmum_61001_1,好生练习这门{0}，危急时，定能助你化险为夷！！！,
Murmum_61001_2,绝学虽好，但需勤修，方见成效，切勿虚妄!,
Murmum_61001_3,武艺虽胜，意志不能弱，务必勤加修炼，切莫骄纵!,
Murmum_61001_4,绝技修得，唯一秘诀在勤奋，切记要勤学苦练，方有所成!,
Murmum_61001_5,绝技虽妙，非勤苦修习不能成，切记勤修方显成效!,
Murmum_61003_1,{0}，请留步！我有一事相求！！！,
