"# ui_zh-Hans.csv",
"# 文本编号","# 正文"
"string","string"
"id","text"
# 通用,
"Common_Item","物品"
"Common_Skill","绝学"
"Common_NeiGong","内功"
"Common_Equip","装备"
"Common_Back","返回"
"Common_Return","返回上一级"
"Common_SkillLevelUp","绝学进阶"
"Common_Unequip","卸下"
"Common_Confirm","确定"
"Common_Extra","额外"
"Common_Value","价值"
"Common_Extra_Desc","「坚不可摧」"
"Common_Continue","继续"
"Common_Add","增加"
"Common_Close","关闭"
"Common_Delete","删除"
"Common_Stop_Talk","结束交谈"
"Common_CraftItem","制作物品"
"Common_Crafting","制作中..."
"Common_Reduce","减少"
"Common_Cancel","取消"
"Common_Finish","完成"
"Common_Use","使用"
"Common_Place","放置"
"Common_Feed","喂养"
"Common_Player_Name","我"
"Common_Player_Mine","我的"
"Common_You","你"
"Common_Your_Sect","你的门派"
"common_mine_teacher","我的师父"
"Common_Empty","空"
"Common_Price"," 「价值」"
"Common_Price_1","价值"
"Common_But","但"
"Common_Or","或"
"Common_He","他"
"Common_She","她"
"Common_It","它"
"Common_Life_Title","生命力"
"Common_Time_Hour","时"
"Common_Time_Day","日"
"Common_Time_Per_Day","每 {0} 日"
"Common_Time_NoLimit","不限"
"Common_Select_Item","移动物品数量：{0}"
"Common_has_learn","「已习得」\\n<TDName>按</> <TDNum>[1=11]</> <TDName>打开能力界面查看</>"
"Common_has_learn_gamepad","「已习得」\\n<TDName>打开能力界面查看</>"
"Common_has_learn_for_item","「已习得」"
"Common_Click","点击"
"Common_LightRain","小雨"
"Common_Rain","雨"
"Common_RainStorm","暴雨"
"Common_LightSnow","小雪"
"Common_Snow","雪"
"Common_Blizzard","暴雪"
"Common_ClearSkies","晴"
"Common_Cloudy","晴天"
"Common_Overcast","阴"
"Common_Foggy","大雾"
"Common_SandStorm","沙尘"
"Common_PoisonFog","毒樟"
"Common_CreatPlayer","创建角色"
"Common_Feeling","心境"
"Common_Max_Feeling","最大心境"
"Common_Any_Sift","任意资源"
"Common_Exit_Combat","认输"
"Common_Argument","嘴炮"
"Common_Exit_Mini_Game","放弃"
"Common_Use_Item","使用道具"
"Common_Move_Item","移动道具"
"Common_Place_Item","摆放道具"
"Common_Cook_Item","烹饪食物"
"Common_Key_Up_DownTips","键上下切换"
"Common_Gender","性别"
"Common_Name","姓名"
"Common_Orphan","孤儿"
"Common_The_Late","未知"
"Common_Born","初度时"
"Common_Preschooler","孩提时"
"Common_Schoolchild","幼学时"
"Common_Teen","成童时"
"Common_Submit","提交"
"Common_Whos","{0}的"
"Common_Character","角色"
"Common_Ability","能力"
"Common_JingMai","经脉"
"Common_Relation","关系"
"Common_Attitude","态度"
"Common_Destiny","天命"
"Common_Return_Login","正在离开小世界..."
"Common_Story","传记"
"Common_Move_Restraint","招式克制"
"Common_Prop","属性"
"Common_Fade","半柱香的时间过后……"
"Common_Fade_Sp","一段时间后……"
"Common_TianLao","异常耕夫…启动法阵…禁锢元神…"
"Common_BreakTianLao","你解救了另一名耕夫，经过千难万阻，你们逃离了幻魔寺……"
"Common_BreakTianLao_sp","你被天圣老人救出，送回了大荒界……"
"Common_RoyalPrison","你被关入了地牢……"
"Common_RoyalPrison_Sp","你被关入了地牢，并刺穿琵琶骨……"
"Common_RoyalPrison_Sp_Die","你被关入了地牢，并刺穿琵琶骨，等候问斩……"
"Common_FreeCriminal","一段时间后，你被释放了……"
"Common_FreeCriminal_NPC","一段时间后，囚犯被释放了……"
"Common_KillHead","问斩的时候到了……"
"Common_Move_To","前往某处"
"Common_Find_Somebody","寻找某人"
"Common_Find_Something","寻找{0}"
"Common_Move_To_Building","前往{0}"
"Common_Move_To_Self_Home","前往某人的家"
"Common_Move_To_Other_Home","前往自己的家"
"Common_Design","设计"
"Common_Lock","未解锁"
"Common_GarnishLock","制作未解锁"
"Common_Out_World","神秘区域开发中，敬请期待！"
"Common_None","无"
"Common_Weiget","「重量」{0}"
"Common_Min","最小"
"Common_Max","最大"
"Common_All","全部"
"Common_Fake","荒废"
"Common_Easy","简单"
"Common_Normal","中等"
"Common_Hard","困难"
"Common_VeryHard","极难"
"Common_InputNum","输入数量"
"Common_Cost","消耗"
"Common_Reason","「原因」"
"Common_Money","钱"
"Common_Num_Btn","数字按钮"
"Common_Active","已激活"
"Common_Unactive","未激活"
"Common_Has_Died","魂归天命"
"Common_Get_Sth","获得了"
"Common_Get_Debuff","中了"
"Common_Trap","陷阱"
"Common_Hold","持有"
"Common_Master","精通"
"Common_Unit_Price","单价"
"Common_Total_Price","总价"
"Common_Rule","规则"
"Common_Choose_sth","选择物品"
"Common_Choose_Member","选择成员"
"Common_Choose_Building","选择建筑"
"Common_Choose","选择"
"Common_None_Owner","「无归属」"
"Common_Has_Received","「已领取」"
"Common_Can_Submit","「可提交」"
"Common_All_2","所有"
"Common_Agree","同意"
"Common_Degree","拒绝"
"Common_Wait_Agree","暂不同意"
"Common_skip_time","一炷香的时间..."
"Common_Be_WuLinLeader","成为了武林盟主"
"Common_WuLin_Failure","遗憾落败"
"Common_P_Attitude","好感："
"Common_Btn_Attitude","正面态度达到："
"Common_Teach_Condition","此绝学需进阶至大成境界"
"Common_Teach_Ability_Condition","此能力需进阶至{0}境界"
"Common_Take","领取"
"Common_Cure_SomeOne","你对{0}进行了治疗"
"Common_Forgive_SomeOne","你饶恕了{0}"
"Common_Teach_SomeOne","你对{0}进行了传授"
"Common_Alms_SomeOne","你施舍了一些物品给{0}"
"Common_Cripple_SomeOne","你打残了{0}"
"Common_Abolish_SomeOne","你废除了{0}的武功"
"Common_TakeHead_SomeOne","你的染血气息过于浓重，你拿取{0}首级的消息走漏了风声"
"Common_Kill_SomeOne_InCombat","你对{0}痛下狠手"
"Common_Grab_SomeOne","你对{0}搜刮被人目击，消息被传播开来"
"Common_Attitude_Up","对你的好感增加了"
"Common_Attitude_Down","对你的好感降低了"
"Common_Relation_Apply_300","{0}与{1}结为深仇大恨关系"
"Common_Relation_Apply_302","{0}与{1}结为结下梁子关系"
"Common_Relation_Apply","{0}与{1}结为深仇大恨关系"
"Common_Attitude_Up_1","{0}对{1}的好感增加了"
"Common_Attitude_Down_1","{0}对{1}的好感降低了"
"Common_Spread_Msg_Tips","确认是否传播此消息？"
"Common_AI_Cur","此刻在"
"Common_overseas","海外"
"Common_Say_Hi","打招呼"
"Common_Command","组队"
"Common_Not_Comprehend","未领悟"
"Common_Monster_Name_1","大"
"Common_Monster_Name_2","二"
"Common_Monster_Name_3","三"
"Common_Monster_Name_4","四"
"Common_Monster_Name_5","五"
"Common_Monster_Name_6","六"
"Common_Monster_Name_7","七"
"Common_Monster_Name_8","八"
"Common_Monster_Name_9","九"
"Common_Monster_Name_10","十"
"Common_Monster_Name_11","十一"
"Common_Half","一半"
"Common_Unknown","未知"
"Common_Fabricator","（我捏造的）"
"Common_AttiToMe","好感"
"Common_Specialties","资源特产"
"Common_MapTag","标记位置"
"Common_Position","位置"
"Common_SplitEquip","分解装备"
"Common_Other_Taget","对方"
"Common_Leave","离开"
"Common_Empty_Pos","空位"
"Common_Input_XiuWei","灌注武学心得"
"Common_Recycle","取出"
"Common_Captive","圈养"
"Common_Love_Title","同床共枕"
"Common_Food","食物"
"Common_Human_Num","{0}人"
"Common_In_Operating","经营中"
"Common_Free","【免费】"
"Common_Value_Max","<ArguNameMax>（已达上限）</>"
"Common_Store_Atk","（已存储 <ArguNum>{0}</> 口水）"
"Common_Allow","允许"
"Common_Reject","拒绝"
"Common_Blow_Up","放大"
"Common_Lessen","缩小"
"Common_Select","选择"
"Common_Add_Attact","{0}增加{1}"
"# 通用物品详情按钮",
"Common_Btn_Unlock","解锁"
"Common_Btn_Item","制作"
"Common_Btn_Equip","织造"
"Common_Btn_Weapon","锻造"
"Common_Btn_Cook","烹饪"
"Common_Switch_Unlock","解锁"
"Common_Switch_Lock","锁定"
"# 图纸",
"Common_Paper_Item","制作配方"
"Common_Paper_Equip","织造配方"
"Common_Paper_Weapon","锻造配方"
"Common_Paper_Cook","烹饪配方"
"# 黑屏描述",
"Black_Desc_Gong_Ren","{0}屏气凝神，手起刀落，一阵响彻云霄的雷声过后，{1}成为了不全人……"
"# 称呼",
"call_desc_gender_0","少侠"
"call_desc_gender_1","女侠"
"call_desc_1","你"
"call_desc_good_2_1","爹爹"
"call_desc_good_2_2","阿爷"
"call_desc_good_2_3","阿爹"
"call_desc_good_2_4","父亲"
"call_desc_good_3_1","母亲"
"call_desc_good_3_2","阿妈"
"call_desc_good_3_3","阿娘"
"call_desc_good_4_1","夫君"
"call_desc_good_4_2","夫婿"
"call_desc_good_4_3","郎君"
"call_desc_good_4_4","官人"
"call_desc_good_4_5","老爷"
"call_desc_good_5_1","夫人"
"call_desc_good_5_2","娘子"
"call_desc_good_5_3","媳妇"
"call_desc_good_5_4","爱妻"
"call_desc_good_6_1","兄长"
"call_desc_good_6_2","哥哥"
"call_desc_good_6_3","哥"
"call_desc_good_7_1","弟弟"
"call_desc_good_7_2","爱弟"
"call_desc_good_8_1","阿姐"
"call_desc_good_8_2","阿姊"
"call_desc_good_9_1","吾妹"
"call_desc_good_9_2","阿妹"
"call_desc_good_10_1","吾儿"
"call_desc_good_10_2","儿郎"
"call_desc_good_10_3","臭小子"
"call_desc_bad_10_1","逆子"
"call_desc_bad_10_2","不孝子"
"call_desc_good_11_1","闺女"
"call_desc_good_11_2","丫头"
"call_desc_good_12_1","师兄"
"call_desc_good_13_1","师姐"
"call_desc_good_14_1","师弟"
"call_desc_good_15_1","师妹"
"call_desc_good_16_1","义兄"
"call_desc_bad_17_1","你这厮"
"call_desc_good_18_1","主人"
"call_desc_good_20_1","亲爱的"
"call_desc_bad_20_1","负心人"
# 战斗页面,
"combat_panel_1","释放区域"
"combat_panel_2","克制关系"
"combat_panel_3","{0}释放"
"combat_change_defender_tips","对手切换为「{0}」"
"# 战斗结果选项",
"combat_jiao_xun","教训"
"combat_rao_shu","饶恕"
"combat_ji_yun","击晕"
"combat_xia_zhong_shou","下重手（小有结怨）"
"combat_fei_chu","废除武功（结下梁子）"
"combat_suo_yao","索要物品"
"combat_fa_jin","拿取罚金 {0}"
"combat_fang_guo","放过（感激+100）"
"combat_zhi_liao","帮疗伤（感激+150）"
"Combat_Result_Message_0","{0}深思熟虑之后决定将你击晕"
"Combat_Result_Message_1","{0}深思熟虑之后决定打残你的双腿"
"Combat_Result_Message_2","{0}深思熟虑之后决定废除你的武功"
"Combat_Result_Message_3","{0}深思熟虑之后决定向你索要物品"
"Combat_Result_Message_4","{0}深思熟虑之后决定饶你一次，对你的好感降低了"
"Combat_Result_Message_5","{0}深思熟虑之后决定帮助你疗伤"
"Combat_Result_Message_7","{0}决定拿走罚金"
"Combat_Result_Message_8","{0}决定打残你的双腿，并拿走罚金"
"Combat_Result_Message_9","{0}决定将你关入地牢"
"Combat_Result_Message_10","{0}决定将你关入地牢，并刺穿琵琶骨"
"Combat_Result_Message_11","{0}决定将你关入地牢，并刺穿琵琶骨，等待问斩"
"Combat_target_die_message","此次出手可能击杀对方，是否降低功力留他一命。"
"target_die_msg_confirm","饶他一命"
"target_die_msg_cancel","痛下狠手"
# 天书宝典,
"Tianshu_Combat","战斗"
"Tianshu_BUFF","状态"
"Tianshu_Jingmai","经脉"
"Tianshu_Facility","设施"
"Tianshu_Sect","门派"
"Tianshu_Interact","交互"
"Tianshu_Tile","地块"
"Tianshu_None","天书宝典会随着你的历练逐步收集，当遇到不会的问题时，可以随时打开查看。"
# 交易系统,
"Deal_Title","交易"
"Deal_My_Item","我的物品"
"Deal_Other_Item","对方物品"
"Deal_My_Skill","我的绝学"
"Deal_Other_Skill","对方绝学"
"Deal_My_Equip","我的装备"
"Deal_Other_Equip","对方装备"
"Deal_Confirm","确认交易"
"Deal_Cancel","取消交易"
"Deal_Status_0","[#1你]想跟我交易些什么？"
"Deal_Status_1","这买卖我看行！"
"Deal_Status_2","[#1你]给的不够啊，亏本买卖我可不做！"
"Deal_My_Deal_Reward","我的交易收益"
"Deal_Need_Item","所需物品"
"Deal_Info_Tips","对方本次交易的满意度"
"Deal_Info_Tips_1","对方索要物品的满意度"
"Deal_Lose_Attitude","你利用了{0}对你的好感在交易中牟利，他对你的好感减少了。\\n{1}"
"Deal_Desc","公平交易"
"Deal_Alms_0","这位少侠，施舍我点东西吧..."
"Deal_Alms_1","多谢少侠！多谢少侠！！"
"Deal_Balance_Tips","点击后用铜钱自动补齐差额"
"Deal_Steal_value","<Huang22>根据当前奇术等级，还可偷取总价值 {0} 的物品</>"
# 翻找系统,
"Search_Other_Item","容器物品"
"Search_Other_Skill","容器绝学"
"Search_Other_Equip","容器装备"
"Search_Take_All","拿取所有"
"Search_Put_All","放入所有"
"Search_Take_All_1","拿取所有{0}"
"Search_Put_All_1","放入所有{0}"
"Search_Finish","确定"
"Search_Cancel","取消"
# 道具包裹,
"Item_My_Item","我的物品"
"Item_Move_Item","移动物品"
"Item_Select_Item","选择物品"
"Item_Rotate_Item","旋转物品"
"Item_Select_Num","选择数量"
"Item_All_Price","合计价值"
"ZhiZuo","制作"
"need_resource","需要资源"
"ZhiGu","制蛊"
"item_use_btn_name_93002","召唤"
"item_use_btn_name_93010","打开"
"place_item_desc","<ItemTipNameGray>正在放置：</><ItemTipNameGreen>{0}</> <ItemTipNameGray>还有</> <ItemTipNameGreen>{1}</> <ItemTipNameGray>个</>"
"Item_Include_Item","包含的物品"
# 通用制作,
"Demand_Desc","制作需求"
"Demand_Unlock_Desc","解锁需求"
# 绝学升级,
"Skill_Up_Exp_Desc","「武学心得」{0}"
"Skill_Up_Max_Desc","已达到当前顶级"
# 装备打造,
"Craft_Base_Formation","基础材料"
"Craft_Item_Formation","所需材料"
"Craft_Extra_Formation","额外材料"
"Craft_Btn_210006","锻造"
"Craft_Btn_None_210006","能力不足无法锻造"
"Craft_Btn_210009","制作"
"Craft_Btn_None_210009","能力不足无法制作"
"Craft_Btn_210010","织造"
"Craft_Btn_None_210010","能力不足无法织造"
"Craft_Btn_210011","打造"
"Craft_Btn_None_210011","能力不足无法打造"
"Craft_My_Product","我的装备"
"craft_part_name_0","织造帽子"
"craft_part_name_1","织造衣服"
"craft_part_name_2","织造裤子"
"craft_part_name_3","锻造兵器"
"craft_part_name_4","打造暗器"
"craft_ability_desc_0","{0}能力习得后可使用"
