key,original_en,translation,context
c854dd202f2e2a7b0ea0564c73276680,"For every {0} adjacent {1} Verbal Duels, gain {2} Eloquence",,每有 {0} 个相邻的{1}嘴炮，额外增加 {2} 口水
c94ac3942de09c937c812dec2faea062,"{0}% chance to remove adjacent {1}. For each one removed, gain {2} Eloquence.",,有 {0}% 几率消除相邻的 {1}，每消除 1 个，额外增加 {2} 口水
6aac64544150f50d72647badb9a6e0ab,"For every {0} adjacent {1}, gain {2} Eloquence",,每有 {0} 个相邻的 {1}，则额外增加 {2} 口水
dc3abcbb594f26cc51408c2fdb90199e,"If the adjacent {0} is a {1} Verbal Duel, gain {2} Eloquence",,相邻{0}为{1}嘴炮时，额外增加 {2} 口水
f042ae4678bbcc38601c4a942fe97c9e,"When the position is {0}, increase the basic saliva of {1} to the basic saliva of the adjacent mouth cannon {2}",,位置在{0}时，使 {1} 个相邻嘴炮的基础口水增加 {2}
a0cd1766a0b7cd3e473469e1f2573fc5,"For every {0} in the same row, gain {1} Eloquence",,同排嘴炮，每有 1 个{0}，额外增加 {1} 口水
02acd56185c212a12ea94a7a3c6ded4c,Remove {0} adjacent {1} and gain {2} removed Verbal Duels of the same kind,,消除相邻 {0} 个{1}，增加 {2} 个被消除的相同嘴炮
a77343eff0454788430d27cab5303187,"When the other mouth cannons are {0}, an additional increase {1} is doubled.",,其他嘴炮均为{0}时，额外增加 {1} 倍自身口水
0f5238a410969ebf34e8435195236e24,"There is {0}% chance to eliminate itself, and increase the opportunity to re -select the time",,有 {0}% 几率消除自身，增加 {1} 次重新选择机会
b39cacb8593cc262b8e65a12a81d7a43,"For every adjacent {0} Verbal Duel, gain {1} Eloquence",,每有 1 个相邻的{0}嘴炮，额外增加 {1} 口水
bdf000b8ff49c7df55a693985c0bd0f1,There is {0}% chance to generate {1} {2},,有 {0}% 几率生成 {1} 个{2}
87649ec432dd10bbe65679e99fa9f257,{0}% chance to turn into {1},,有 {0}% 几率，变成 {1}
70d39f6a006bcb5eca286df9e8c4711e,"When removed, gain {0} Eloquence",,自身被消除后，额外增加 {0} 口水
4ecf322b7638c46f0b54d1bba4d8a437,Grant {1} Base Eloquence to adjacent {0},,使相邻的 {0} 增加 {1} 基础口水
891c1a20f6af58f1cd80f321a9588cc9,"When the other mouth cannons are {0}, copy {1} itself (with at most {2})",,其他嘴炮均为{0}时，复制 {1} 个自身（最多拥有 {2} 个）
235286a0ffa65725645c5a17cb165f28,Remove itself and grant {0} Base Eloquence to adjacent Verbal Duels,,消除自身，增加相邻嘴炮 {0} 基础口水
0123a061b3a47bab4ba03948a2622236,"Eliminate the adjacent {0}, every one eliminates one, add {1} to double the saliva",,消除相邻的 {0}，每消除 1 个，额外增加 {1} 倍自身口水
f5e453131ef9183873ab949dbc5d8465,"Every time there is {0} an adjacent invalid fruit cannon, add {1} saliva",,每有 {0} 个相邻的无效果嘴炮，额外增加 {1} 口水
edc3f828d2f52b5d45b76ff113603ee5,"When in the {0}, gain {1} Eloquence",,位置在{0}时，额外增加 {1} 口水
cfba4fe764c142d6d6ff8155729fad9f,Turn {0} adjacent {1} into random Verbal Duels,,使相邻 {0} 个{1}，变成随机嘴炮
dd47f4a09ebbd97e90f1ea3c338f6add,"For every {0} in the same column, gain {1} Eloquence",,同列嘴炮，每有 1 个{0}，额外增加 {1} 口水
a1473fa6631b1b9bdf51bd26aafc618e,"When in the {0}, gain {1}x own Eloquence",,位置在{0}时，额外增加 {1} 倍自身口水
c966c96f2a57913d7748bb0af1f1c3e1,"Remove adjacent {0} Verbal Duels. For each one removed, gain {1} own Base Eloquence.",,消除相邻的{0}嘴炮，每消除 1 个，增加自身 {1} 基础口水
8736f6116f8c25003f904883235e382b,"For every {0} adjacent {1}, gain {2}x own Eloquence",,每有 {0} 个相邻的 {1}，则额外增加 {2} 倍自身口水
0d1e80b50abcb2b6962218a5ce64c9d5,"Each round of storage {0} saliva, when it is eliminated, add additional saliva stored with {1} double storage",,每轮存储 {0} 口水，被消除时，额外增加 {1} 倍存储的口水
45619b840c45d173924b354bdde77cc5,Extra the number of mouthfuls of mouth cannon fences,,额外增加嘴炮栏数量的口水
