key,original_en,translation,context
f23add0ba2559511bae35abb4386cc79,"(The handwriting of the biography of Flying Pigeon is trembling, as if you can feel fear and anxiety)\\n\\nYu Wenru's body was a black bird's death, and this matter was not small, he might have affected the pond fish.\\nYu Qing was meager, cowardly, difficult to support, and more frightened.\\nThinking again and again, Yu decided to break the bronze mirror, and since then the water surface no longer meets.\\nYu Pingyong is difficult to match the heroes of Ru.\\nMay you escape this robbery, and will be in the future and will not be disturbed.\\nWhere there is no grasses in the world, why bother to love a flower alone. May Ruzhen take a serious, after this, each of them is well.\\n\\n{0}\\n(At the end of the letter, the handwriting is becoming more and more messy, and it seems to be in a hurry.",,（飞鸽传书的字迹颤抖不定，仿佛能感受到恐惧与不安）\\n\\n余闻汝身背黑雀死讯，此事非同小可，恐将殃及池鱼。\\n余情愫微薄，怯懦不堪，力难扶持，心更悚惧。\\n思量再三，余决断铜镜，自此水面清波不再相见。\\n余平庸难配汝之英雄勇武。\\n愿汝躲过此劫，后会无期，不复相扰。\\n天涯何处无芳草，何必单恋一枝花。愿汝珍重，此别后，各自安好。\\n\\n{0}\\n（信末，笔迹越发凌乱，似是匆匆草就，可见写信之人心境之慌张。）
4f12b885fa35608685f9febfb1ad4314,Letter from {0},,来自{0}的信
23919a9ecdb31e7d808716f2d65eb06b,"You took down my enemy, and I've got to thank you for it, no doubt! !",,你杀了我的仇人，无论如何我都要感谢你！！
0bd3a1e12866fd4db04dbe32820e0fa4,"We're family, it's the least I can do! !",,我们是血亲关系，这本就是我应该做的！！
07f1effe8217ac63663cc0f5295aa240,"Even so, I really appreciate it. Please take this.",,即使这样，我也感激万分，这件东西你拿去吧。
a3fccde6074b2d61c53cfe00f09c95db,"Their attitude has changed, and I received a treasure.",,对方的态度产生变化，赠送我一件珍品
94a5c429334328991826d2f92087293c,I helped {0}{1} settle a score. {0}{1} grew closer to me and gifted me a treasure.,,我帮{0}{1}报了仇，{0}{1}不但对我的态度更加亲密，还送了我一件珍品。
dd1105f15cf73be8f48e467ebddbb8e1,Bye!,,告辞
007f3352031a811c65c3559a22183632,"We're from the same sect, it was no big deal.",,我们同属一个门派，举手之劳。
35af698f5324cc2ab53e3c5c9fe52b92,"Well, since you've lent a hand, rest assured, I shall not forget!",,同门一场，你既然出手相助，这份恩情，我绝不敢忘！
9100a9df3937996496c4b4fa379a36f1,"We're good friends, there's no need for such a big fuss.",,你我相交莫逆何必行如此大礼
f5ab0e4c2bf7ff0a6e134bf79cc96db4,"My brother, you've helped me let off some steam today. I won't forget your kindness!",,你我义结金兰，今日又帮我出了这口恶气，感激之情铭记于心！
ecf7fcb456d48636c9a357ea5628009a,I just did what made sense.,,我不过是顺手而为
602a4206b53927505f414065a1f8e81b,"I never thought you'd set aside our past conflicts and seek revenge for me. I respect you and am ready to bond, leaving our conflicts behind.",,昔日结下仇怨，您竟然不计前嫌替我报仇。我对您刮目相看，愿悬剑为盟，重新来过，往日仇怨一笔勾销！
c32fcd011a0c446265fe3c84a426c5b6,"Our bond is unyielding, anyone who dares harm you will face my wrath.",,你我情比金坚，谁胆敢惹你不快我都会出手
776550f80c204be0b1e3e81d212edfa9,"I understand our encounter drained my luck, but I'll stand by you, no matter what.",,我心里明白，遇见你是我多世修来的福分，哪怕海枯石烂，也要与你相知相伴。
a58e56e006072a2992f38de6b74a2cbc,"You are my loyal retainer. Of course, I will watch over you.",,你是我的麾下，我当然会罩着你
d8539a499f9da9e07dcf34fb9e1ba845,"It's a small favor, hardly worth mentioning.",,举手之劳，不足挂齿
2f33b6d5204d36e70c126fbdd1ba219f,"Young master, please, help me! !",,公子，快救救我！！
c3003f68037d2d0d2f0ceb662d21c64f,Ask about the reason,,询问缘由
