key,original_en,translation,context
Murmum_10000_1,<MsgSectStyle>[I’ve acquired it. No need to review...]</>,,<MsgSectStyle>「我已经会了，不用再看了……」</>
Murmum_10000_2,<MsgSectStyle>[I’ve mastered it. No need to review...]</>,,<MsgSectStyle>「已烂熟于心，不用再看了……」</>
Murmum_10000_3,<MsgSectStyle>[Hey! I told you I don’t need to review !]</>,,<MsgSectStyle>「都跟你说了，不用再看了，你还点？!」</>
Murmum_10000_4,<MsgSectStyle>[I’ve acquired it. No need to review...]</>,,<MsgSectStyle>「已经学会了啦，不用看了……」</>
Murmum_10000_5,<MsgSectStyle>[I’ve learned this skill! ]</>,,<MsgSectStyle>「我已会使这门绝学了！」</>
Murmum_10007_1,[Nothing found...],,「没挖到什么东西……」
Murmum_10008_1,What’s this place? Anybody here? Hello? Hi? Oi —,,这是哪里！有人吗？喂~喂~~喂~~~
Murmum_10009_1,Let’s spar once we’ve restored our Vigor.,,我们把气血回满再来切磋。
Murmum_10010_1,The opponent is considering how to deal with you...thinking of the relations between you two and their attitude toward you...weighing the risks...,,对方正在考虑如何处置你...考虑与你的关系和态度...正在考虑风险...。
Murmum_40000_1,Forbidden area! No entry for strangers!,,门派禁地，生人不得擅闯！
Murmum_50000_1,What are you looking at? Get out!,,看什么看？滚！
Murmum_50001_1,You wanna join our sect? Impossible!,,就你这厮也想入我门，痴心妄想！
Murmum_50002_1,Meet the entry requirements and you can become one of us!,,想要入得鄙门，只需达成入门条件便可！
Murmum_50003_1,"I’ve reported to the sect leader. The honorable one,you’ll receive the leader’s letter soon.",,在下已禀报掌门，阁下稍事片刻可收到掌门回信
Murmum_50004_1,Hum? Get up!,,嗯？！给我起来！
Murmum_50005_1,Who’s hiding there? Come out!,,躲躲藏藏，鬼鬼祟祟，给我出来！
Murmum_50006_1,Hum? Who’s there! !,,嗯？！谁在那？！
Murmum_50007_1,Nice gear!,,这装备真不错！
Murmum_50008_1,This Skill is perfect for me!,,这门绝学似乎很适合我！
Murmum_50009_1,"Warrior,thank you for saving me!",,多谢大侠救命之恩！
Murmum_50013_1,Horses like eating grass. Monkeys like eating pinecones or plums. Martens and snakes like eating meat and eggs. Eagles like eating meat.,,马喜欢吃草，猴子喜欢吃松果或梅子，貂和蛇喜欢吃肉和蛋，鹰喜欢吃肉。
Murmum_50014_1,Soon there will be a Kungfu Contest in areas with such a campaign. I can't wait any longer. Is there anything that a martial arts champion can't do? Hahahaha!,,只要有武林大会的区域过段时间就会召开了，好期待~~如果能当上武林盟主，那真的是可以为所欲为了，哈哈哈哈。
Murmum_50015_1,"There’s a Bulletin Board at the Mountain Gate of every sect. You can take a look,see if you meet their Entry Requirements. But I’m not sure whether you’re worthy or not.",,各个门派的山门都有公告板，你可以去看看符不符合入门条件。不过人家不一定看得上你~~
Murmum_50016_1,"You can use your Chi to heal minor injury. If the injury is too severe,you can go to clinic for healing. But Clinics often charge a high fee. ..",,小伤的话自己真气贯通就可以治疗了，如果伤势过于严重只能去医馆治疗了，不过他们收费都挺贵的。。。
Murmum_50017_1,"Trade,complete commissions,or work at all kinds of stores. But doing illegal business always earns more. Ahaha,just like taking supplements will make you stronger!",,交易，帮人完成委托任务，或者去各大店铺打杂。不过怎么都没有干出格的事情来的快哈哈，马无夜草不肥嘛~~~
Murmum_50018_1,"Hehe,no one is invincible in this world. You can improve your power by collecting more skills,Inner Kungfu,Abilities,and Gears. But remember,only the fitting combination means the true power.",,呵呵呵~这个世界没有真正的无敌~你可以通过收集绝学、内功、能力、装备来提升实力，不过只有将它们组合搭配好，才能真正强大。
Murmum_50019_1,I heard that you can acquire advanced Qinggong at the Eagle Hunt Platform and Mirror Lake Stonewoods.,,我听说在逐鹰台和镜湖石林可以领悟高级轻功。
Murmum_50020_1,Give everything you owe me now!,,把欠我的都交出来！
Murmum_50021_1,"You’re not too stupid,huh? Now get out! Don’t mess with me! !",,算你识相，滚吧！以后小心点，别惹我！！
Murmum_50022_1,That was your lesson today!,,今天先给你个教训！
Murmum_50023_1,"Sorry,I didn’t mean to do this! Let’s forget this,shall we?",,我惹不起你！这件事就算了吧！
Murmum_50024_1,I'm tired today. Come and see me tomorrow.,,我今天已经很疲惫了，明天再来请教吧
Murmum_50025_1,I'm tired today. I need to digest what we just covered. Let's continue tomorrow.,,我今天累了，先把刚学会的融会贯通，明天再传授我吧
Murmum_50026_1,"(...Hold still...Just bear with it for a little longer, we're almost there! ! ! )",,(……不要乱动……再坚持一会儿，天门就要开了！！！)
Murmum_60000_1,"Not bad,I bet you can unify the martial arts world.",,不错不错，一统江湖就靠你了。
Murmum_60001_1,"Haha,I just invented it. Didn’t expect there would be a side effect. I’ll find you when I fix this.",,哈哈，我也是刚研究出来的，没想到有点副作用，等我改良了再找你哈~~
