key,original_en,translation,context
Common_Item,Items,,物品
Common_Skill,Skills,,绝学
Common_NeiGong,Inner Kungfu,,内功
Common_Equip,Gear,,装备
Common_Back,Back,,返回
Common_Return,Back to previous,,返回上一级
Common_SkillLevelUp,Advance Skill,,绝学进阶
Common_Unequip,Unequip,,卸下
Common_Confirm,Confirm,,确定
Common_Extra,Extra,,额外
Common_Value,Value,,价值
Common_Extra_Desc,「Indestructible」,,「坚不可摧」
Common_Continue,Continue,,继续
Common_Add,Add,,增加
Common_Close,Turn Off,,关闭
Common_Delete,Delete,,删除
Common_Stop_Talk,End Conversation,,结束交谈
Common_CraftItem,Craft Item,,制作物品
Common_Crafting,Crafting...,,制作中...
Common_Reduce,Remove,,减少
Common_Cancel,Cancel,,取消
Common_Finish,Complete,,完成
Common_Use,Use,,使用
Common_Place,Place,,放置
Common_Feed,Feed,,喂养
Common_Player_Name,Me,,我
Common_Player_Mine,My,,我的
Common_You,You,,你
Common_Your_Sect,Your Sect,,你的门派
common_mine_teacher,My Shifu,,我的师父
Common_Empty,Empty,,空
Common_Price,「Value」,, 「价值」
Common_Price_1,Value,,价值
Common_But,But,,但
Common_Or,or,,或
Common_He,He,,他
Common_She,She,,她
Common_It,It,,它
Common_Life_Title,Health,,生命力
Common_Time_Hour,Time,,时
Common_Time_Day,Day,,日
Common_Time_Per_Day,Every {0} days,,每 {0} 日
Common_Time_NoLimit,Unlimited,,不限
Common_Select_Item,Moved items:{0},,移动物品数量：{0}
Common_has_learn,「Acquired」\\n<TDName>Press</> <TDNum>[1=11]</> <TDName> to view in Abilities</>,,「已习得」\\n<TDName>按</> <TDNum>[1=11]</> <TDName>打开能力界面查看</>
Common_has_learn_gamepad,「Have learned」\\n<TDName>Open the ability interface to view</>,,「已习得」\\n<TDName>打开能力界面查看</>
Common_has_learn_for_item,「Acquired」,,「已习得」
Common_Click,Click,,点击
Common_LightRain,Drizzle,,小雨
Common_Rain,Rain,,雨
Common_RainStorm,Rainstorm,,暴雨
Common_LightSnow,Light Snow,,小雪
Common_Snow,Snow,,雪
Common_Blizzard,Snowstorm,,暴雪
Common_ClearSkies,Sunny,,晴
Common_Cloudy,Sunny,,晴天
Common_Overcast,Mostly Cloudy,,阴
Common_Foggy,Heavy Fog,,大雾
Common_SandStorm,Sandstorm,,沙尘
Common_PoisonFog,Poison Gas,,毒樟
Common_CreatPlayer,Create Character,,创建角色
Common_Feeling,Spirits,,心境
Common_Max_Feeling,Max Spirits,,最大心境
Common_Any_Sift,Any Resource,,任意资源
Common_Exit_Combat,Concede,,认输
Common_Argument,Verbal Duel,,嘴炮
Common_Exit_Mini_Game,Give up,,放弃
Common_Use_Item,Use Item,,使用道具
Common_Move_Item,Move Item,,移动道具
Common_Place_Item,Place Item,,摆放道具
Common_Cook_Item,Cook Food,,烹饪食物
Common_Key_Up_DownTips,Up and Down Switch,,键上下切换
Common_Gender,Gender,,性别
Common_Name,Name,,姓名
Common_Orphan,Orphan,,孤儿
Common_The_Late,Unknown,,未知
Common_Born,Newborn,,初度时
Common_Preschooler,Babyhood,,孩提时
Common_Schoolchild,Infanthood,,幼学时
Common_Teen,Childhood,,成童时
Common_Submit,Submit,,提交
Common_Whos,{0}’s,,{0}的
Common_Character,Character,,角色
Common_Ability,Abilities,,能力
Common_JingMai,Meridians,,经脉
Common_Relation,Relations,,关系
Common_Attitude,Attitudes,,态度
Common_Destiny,Karma,,天命
Common_Return_Login,Leaving Miniworld...,,正在离开小世界...
Common_Story,Bio,,传记
Common_Move_Restraint,Move Counters,,招式克制
Common_Prop,Attributes,,属性
Common_Fade,After the time that half of an incense stick takes to burn...,,半柱香的时间过后……
Common_Fade_Sp,Time passes...,,一段时间后……
Common_TianLao,Deviant Cultivator...Activating Runes...Restraining Spirit...,,异常耕夫…启动法阵…禁锢元神…
Common_BreakTianLao,"You saved the other cultivator, and the two of you escaped Huanmos Temple after enduring countless hardships...",,你解救了另一名耕夫，经过千难万阻，你们逃离了幻魔寺……
Common_BreakTianLao_sp,You were rescued by the Heavenly Saint and sent back to the Great Wilds...,,你被天圣老人救出，送回了大荒界……
Common_RoyalPrison,You were locked into the dungeon ...,,你被关入了地牢……
Common_RoyalPrison_Sp,You were locked into the dungeon and pierced the pipa bone ...,,你被关入了地牢，并刺穿琵琶骨……
Common_RoyalPrison_Sp_Die,"You were locked into the dungeon, pierced the pipa bone, waiting for asking ...",,你被关入了地牢，并刺穿琵琶骨，等候问斩……
Common_FreeCriminal,"After a period of time, you were released ...",,一段时间后，你被释放了……
Common_FreeCriminal_NPC,"After a period of time, the prisoner was released ...",,一段时间后，囚犯被释放了……
Common_KillHead,Ask the chopping ...,,问斩的时候到了……
Common_Move_To,Go to somewhere,,前往某处
Common_Find_Somebody,Look for someone,,寻找某人
Common_Find_Something,Find {0},,寻找{0}
Common_Move_To_Building,Go to {0},,前往{0}
Common_Move_To_Self_Home,Go to someone’s home,,前往某人的家
Common_Move_To_Other_Home,Go to my home,,前往自己的家
Common_Design,Design,,设计
Common_Lock,Locked,,未解锁
Common_GarnishLock,Crafting Locked,,制作未解锁
Common_Out_World,Mysterious Region under development. Stay tuned!,,神秘区域开发中，敬请期待！
Common_None,,,无
Common_Weiget,「Weight」 {0},,「重量」{0}
Common_Min,Min,,最小
Common_Max,Max,,最大
Common_All,All,,全部
Common_Fake,Desolate,,荒废
Common_Easy,Easy,,简单
Common_Normal,Medium,,中等
Common_Hard,Difficult,,困难
Common_VeryHard,Very Difficult,,极难
Common_InputNum,Enter Quantity,,输入数量
Common_Cost,Consume,,消耗
Common_Reason,「Reason」,,「原因」
Common_Money,Coins,,钱
Common_Num_Btn,Number button,,数字按钮
Common_Active,Activated,,已激活
Common_Unactive,Unactivated,,未激活
Common_Has_Died,Returned to Karma,,魂归天命
Common_Get_Sth,Obtained,,获得了
Common_Get_Debuff,Inflicted,,中了
Common_Trap,Trap,,陷阱
Common_Hold,Owned,,持有
Common_Master,Master,,精通
Common_Unit_Price,Unit Price,,单价
Common_Total_Price,Total,,总价
Common_Rule,Rule,,规则
Common_Choose_sth,Select Item,,选择物品
Common_Choose_Member,Choose a member,,选择成员
Common_Choose_Building,Choose architecture,,选择建筑
Common_Choose,choose,,选择
Common_None_Owner,「No Owner」,,「无归属」
Common_Has_Received,「Claimed」,,「已领取」
Common_Can_Submit,「Ready」,,「可提交」
Common_All_2,All,,所有
Common_Agree,Agree,,同意
Common_Degree,Refuse,,拒绝
Common_Wait_Agree,Not now,,暂不同意
Common_skip_time,Time passes...,,一炷香的时间...
Common_Be_WuLinLeader,Became Champion,,成为了武林盟主
Common_WuLin_Failure,Defeated,,遗憾落败
