key,Source,Translated
﻿Common_Item,Items
Common_Skill,Skills
Common_NeiGong,Inner Kungfu,กำลังภายใน
Common_Equip,Gear
Common_Back,Back
Common_SkillLevelUp,Advance Skill
Common_Unequip,Unequip
Common_Confirm,Confirm
Common_Extra,Extra
Common_Value,Value
Common_Extra_Desc,「Indestructible」
Common_Continue,Continue
Common_Add,Add
Common_Close,Turn Off
Common_Delete,delete
Common_Stop_Talk,End Conversation
Common_CraftItem,Craft Item
Common_Crafting,In production...
Common_Reduce,Remove
Common_Cancel,Cancel
Common_Finish,Complete
Common_Use,Use
Common_Place,Place
Common_Feed,Feed
Common_Player_Name,Me
Common_Player_Mine,My
Common_You,You
Common_Your_Sect,Your Sect
common_mine_teacher,My Shifu
Common_Empty,Empty
Common_Price,「Value」
Common_Price_1,Value
Common_But,But
Common_Or,or
Common_He,He
Common_She,She
Common_It,It
Common_Life_Title,Health
Common_Time_Hour,Time
Common_Time_Day,Day
Common_Time_Per_Day,Every {0} days
Common_Time_NoLimit,Unlimited
Common_Select_Item,Moved items:{0}
Common_has_learn,「Acquired」\\n<TDName>Press</> <TDNum>Q</> <TDName> to view in Abilities</>
Common_has_learn_for_item,「Acquired」
Common_Click,Click
Common_LightRain,Drizzle
Common_Rain,Rain
Common_RainStorm,Rainstorm
Common_LightSnow,Light Snow
Common_Snow,Snow
Common_Blizzard,Snowstorm
Common_ClearSkies,Sunny
Common_Cloudy,Sunny
Common_Overcast,Mostly Cloudy
Common_Foggy,Heavy Fog
Common_SandStorm,Sandstorm
Common_PoisonFog,Poison Gas
Common_CreatPlayer,Create Character
Common_Contribution,Prestige
Common_Any_Sift,Any resource
Common_Exit_Combat,Concede
Common_Exit_Mini_Game,Give up
Common_Use_Item,Use Item
Common_Move_Item,Move Item
Common_Place_Item,Place Item
Common_Cook_Item,Cook Food
Common_Key_Up_DownTips,Up and Down Switch
Common_Gender,Gender
Common_Name,Name
Common_Orphan,Orphan
Common_The_Late,Unknown
Common_Born,Newborn
Common_Preschooler,Babyhood
Common_Schoolchild,Infanthood
Common_Teen,Childhood
Common_Submit,Submit
Common_Whos,{0}’s
Common_Character,Character
Common_Ability,Abilities
Common_JingMai,Meridians
Common_Relation,Relations
Common_Attitude,Attitudes
Common_Destiny,Karma
Common_Return_Login,Leaving Miniworld...
Common_Story,Bio
Common_Move_Restraint,Move Counters
Common_Prop,Attributes
Common_Fade,After the time that half of an incense stick takes to burn...
Common_TianLao,Abnormal farmer... activate the magic circle... imprison the primordial spirit...
Common_BreakTianLao,"You rescued another farmer, and after all kinds of difficulties, you escaped from the Magic Temple..."
Common_BreakTianLao_sp,You were rescued by Tiansheng Lao and sent back to Great Wilds
Common_Move_To,Go to somewhere
Common_Find_Somebody,Look for someone
Common_Find_Something,Find {0}
Common_Move_To_Building,Go to {0}
Common_Move_To_Self_Home,Go to someone’s home
Common_Move_To_Other_Home,Go to my home
Common_Design,Design
Common_Lock,Locked
Common_Out_World,"Mysterious area under development, please look forward to it!"
Common_None,None
Common_Weiget,「Weight」 {0}
Common_Min,Min
Common_Max,Max
Common_All,All
Common_Fake,Desolate
Common_Easy,Easy
Common_Normal,Medium
Common_Hard,Difficult
Common_VeryHard,Very Difficult
Common_InputNum,Enter Quantity
Common_Cost,Consume
Common_Reason,「Reason」
Common_Money,Coins
Common_Active,Activated
Common_Unactive,Unactivated
Common_Has_Died,Returned to Karma
Common_Get_Sth,Obtained
Common_Get_Debuff,Inflicted
Common_Trap,Trap
Common_Hold,Owned
Common_Master,Proficient
Common_Unit_Price,Unit Price
Common_Total_Price,Total
Common_Rule,Rule
Common_Choose_sth,Select Item
Common_None_Owner,「No Owner」
Common_Has_Received,[Received]
Common_Can_Submit,[Can be submitted]
Common_All_2,all
Common_Agree,Agree
Common_Degree,Refuse
Common_Wait_Agree,Not now
Common_skip_time,Time passes...
Common_Be_WuLinLeader,Became Champion
Common_WuLin_Failure,Defeated
Common_P_Attitude,Favorability:
Common_Btn_Attitude,Positive attitude reaches:
Common_Teach_Condition,This unique skill requires advancement to the Great Success Realm
Common_Teach_Ability_Condition,This ability needs to be advanced to {0} level
Common_Take,Claim
Common_Cure_SomeOne,You cured {0}
Common_Forgive_SomeOne,You showed {0} mercy
Common_Teach_SomeOne,You taught {0}
Common_Alms_SomeOne,You donated some items to {0}
Common_Cripple_SomeOne,You crippled {0}
Common_Abolish_SomeOne,You destroyed {0}’s Kungfu
Common_TakeHead_SomeOne,"Your blood-stained aura is too strong, the news that you took {0}'s head leaked out"
Common_Grab_SomeOne,Your looting of {0} was witnessed and word spread
Common_Attitude_Up,Affinity Up
Common_Attitude_Down,Affinity Down
Common_Relation_Apply_300,{0} has formed a deep hatred relationship with {1}
Common_Relation_Apply_302,{0} has formed a relationship with {1}
